tourney_name,tournyey_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Madrid,WTA 1000,2026-05-01,Clay,SF,3,Alexander Zverev,Alexander Blockx,6-2 7-5,3,69,5255,814
Madrid,WTA 1000,2026-05-01,Clay,SF,3,Jannik Sinner,Arthur Fils,6-2 6-4,1,25,13350,1740
Madrid,WTA 1000,2026-04-30,Clay,QF,3,Alexander Zverev,Flavio Cobolli,6-1 6-4,3,13,5255,2600
Madrid,WTA 1000,2026-04-30,Clay,QF,3,Alexander Blockx,Casper Ruud,6-4 6-4,69,15,814,2535
Madrid,WTA 1000,2026-04-29,Clay,QF,3,Arthur Fils,Jiri Lehecka,6-3 6-4,25,14,1740,2540
Madrid,WTA 1000,2026-04-29,Clay,QF,3,Jannik Sinner,Rafael Jodar,6-2 7-6(0),1,42,13350,1080
Madrid,WTA 1000,2026-04-28,Clay,R16,3,Alexander Zverev,Jakub Mensik,6-4 6-7(4) 6-3,3,27,5255,1700
Madrid,WTA 1000,2026-04-28,Clay,R16,3,Flavio Cobolli,Daniil Medvedev,6-3 5-7 6-4,13,10,2600,3560
Madrid,WTA 1000,2026-04-28,Clay,R16,3,Alexander Blockx,Francisco Cerundolo,7-6(8) 6-2,69,20,814,1920
Madrid,WTA 1000,2026-04-28,Clay,R16,3,Rafael Jodar,Vit Kopriva,7-5 6-0,42,66,1080,826
Madrid,WTA 1000,2026-04-28,Clay,R16,3,Casper Ruud,Stefanos Tsitsipas,6-7(4) 7-6(2) 7-6(3),15,80,2535,715
Madrid,WTA 1000,2026-04-28,Clay,R16,3,Jiri Lehecka,Lorenzo Musetti,6-3 6-3,14,9,2540,3715
Madrid,WTA 1000,2026-04-28,Clay,R16,3,Jannik Sinner,Cameron Norrie,6-2 7-5,1,23,13350,1868
Madrid,WTA 1000,2026-04-28,Clay,R16,3,Arthur Fils,Tomas Martin Etcheverry,6-3 6-4,25,29,1740,1590
Madrid,WTA 1000,2026-04-27,Clay,R32,3,Jakub Mensik,Karen Khachanov,6-4 7-6(11),27,16,1700,2220
Madrid,WTA 1000,2026-04-27,Clay,R32,3,Alexander Zverev,Terence Atmane,6-3 7-6(2),3,47,5255,983
Madrid,WTA 1000,2026-04-27,Clay,R32,3,Flavio Cobolli,Adolfo Daniel Vallejo,6-3 6-2,13,96,2600,640
Madrid,WTA 1000,2026-04-27,Clay,R32,3,Alexander Blockx,Felix Auger Aliassime,7-6(3) 6-3,69,5,814,4100
Madrid,WTA 1000,2026-04-27,Clay,R32,3,Daniil Medvedev,Nicolai Budkov Kjaer,6-3 6-2,10,140,3560,451
Madrid,WTA 1000,2026-04-27,Clay,R32,3,Francisco Cerundolo,Luciano Darderi,6-2 6-3,20,22,1920,1870
Madrid,WTA 1000,2026-04-27,Clay,R32,3,Stefanos Tsitsipas,Daniel Merida Aguilar,6-4 6-2,80,102,715,632
Madrid,WTA 1000,2026-04-27,Clay,R32,3,Casper Ruud,Alejandro Davidovich Fokina,6-3 6-1,15,24,2535,1820
Madrid,WTA 1000,2026-04-26,Clay,R32,3,Rafael Jodar,Joao Fonseca,7-6(4) 4-6 6-1,42,31,1080,1415
Madrid,WTA 1000,2026-04-26,Clay,R32,3,Vit Kopriva,Arthur Rinderknech,6-4 3-6 ret.,66,26,826,1716
Madrid,WTA 1000,2026-04-26,Clay,R32,3,Cameron Norrie,Thiago Agustin Tirante,7-5 7-6(5),23,75,1868,765
Madrid,WTA 1000,2026-04-26,Clay,R32,3,Arthur Fils,Emilio Nava,7-6(2) 6-3,25,116,1740,549
Madrid,WTA 1000,2026-04-26,Clay,R32,3,Jannik Sinner,Elmer Moller,6-2 6-3,1,169,13350,364
Madrid,WTA 1000,2026-04-26,Clay,R32,3,Tomas Martin Etcheverry,Dino Prizmic,2-6 6-4 6-3,29,87,1590,670
Madrid,WTA 1000,2026-04-26,Clay,R32,3,Lorenzo Musetti,Tallon Griekspoor,6-4 7-5,9,33,3715,1340
Madrid,WTA 1000,2026-04-26,Clay,R32,3,Jiri Lehecka,Alex Michelsen,6-4 6-2,14,37,2540,1200
Madrid,WTA 1000,2026-04-25,Clay,R64,3,Stefanos Tsitsipas,Alexander Bublik,6-2 7-5,80,11,715,3445
Madrid,WTA 1000,2026-04-25,Clay,R64,3,Nicolai Budkov Kjaer,Denis Shapovalov,6-2 6-1,140,35,451,1210
Madrid,WTA 1000,2026-04-25,Clay,R64,3,Daniel Merida Aguilar,Corentin Moutet,6-3 6-4,102,30,632,1433
