finished,round,block_order,name,shortname,ranking,winner,teamSeed,team_id,event_id
True,Round of 128,1,Aryna Sabalenka,A. Sabalenka,1,True,1,157754,
True,Round of 128,1,Bye,Bye,,,,,
True,Round of 128,2,Barbora Krejcikova,B. Krejčiková,53,True,,60398,16124723
True,Round of 128,2,Elsa Jacquemot,E. Jacquemot,64,False,,275530,16124723
True,Round of 128,3,Magda Linette,M. Linette,55,False,,42289,16124722
True,Round of 128,3,Tatjana Maria,T. Maria,54,True,,19520,16124722
True,Round of 128,4,Sorana Cirstea,S. Cirstea,27,True,26,19728,
True,Round of 128,4,Bye,Bye,,,,,
True,Round of 128,5,Clara Tauson,C. Tauson,18,True,18,252168,
True,Round of 128,5,Bye,Bye,,,,,
True,Round of 128,6,Petra Marcinko,P. Marčinko,69,False,,381052,16124720
True,Round of 128,6,Oleksandra Oliynykova,O. Oliynykova,68,True,,250859,16124720
True,Round of 128,7,Anastasia Zakharova,A. Zakharova,81,True,,255391,16124718
True,Round of 128,7,Dayana Yastremska,D. Yastremska,52,False,,189986,16124718
True,Round of 128,8,Linda Noskova,L. Noskova,13,True,13,274049,
True,Round of 128,8,Bye,Bye,,,,,
True,Round of 128,9,Belinda Bencic,B. Bencic,12,True,12,63957,
True,Round of 128,9,Bye,Bye,,,,,
True,Round of 128,10,Sofia Kenin,S. Kenin,74,False,,91960,16124719
True,Round of 128,10,Bianca Andreescu,B. Andreescu,137,True,WC,202924,16124719
True,Round of 128,11,Katerina Siniakova,K. Siniakova,39,True,,72376,16124721
True,Round of 128,11,Lois Boisson,L. Boisson,43,False,,293708,16124721
True,Round of 128,12,Anna Kalinskaya,A. Kalinskaya,24,True,22,179146,
True,Round of 128,12,Bye,Bye,,,,,
True,Round of 128,13,Cristina Bucsa,C. Bucsa,31,True,30,99131,
True,Round of 128,13,Bye,Bye,,,,,
True,Round of 128,14,Anna Bondar,A. Bondár,58,False,,150574,16124717
True,Round of 128,14,Qinwen Zheng,Q. Zheng,32,True,,257784,16124717
True,Round of 128,15,Lucrezia Stefanini,L. Stefanini,154,False,WC,155890,16124716
True,Round of 128,15,Jelena Ostapenko,J. Ostapenko,36,True,,64496,16124716
True,Round of 128,16,Elena Gabriela Ruse,E. Ruse,67,True,LL,103901,
True,Round of 128,16,Bye,Bye,,,,,
True,Round of 128,17,Coco Gauff,C. Gauff,4,True,3,264983,
True,Round of 128,17,Bye,Bye,,,,,
True,Round of 128,18,Yulia Putintseva,Y. Putintseva,77,False,,45545,16124713
True,Round of 128,18,Tereza Valentova,T. Valentová,48,True,,381430,16124713
True,Round of 128,19,Solana Sierra,S. Sierra,72,True,,298913,16133495
True,Round of 128,19,Tamara Korpatsch,T. Korpatsch,87,False,Q,69988,16133495
True,Round of 128,20,Anhelina Kalinina,A. Kalinina,93,True,Q,90664,
True,Round of 128,20,Bye,Bye,,,,,
True,Round of 128,21,Marie Bouzkova,M. Bouzkova,26,True,24,105463,
True,Round of 128,21,Bye,Bye,,,,,
True,Round of 128,22,Taylor Townsend,T. Townsend,96,True,Q,51387,16133494
True,Round of 128,22,Nuria Brancaccio,N. Brancaccio,171,False,WC,207593,16133494
True,Round of 128,23,Mccartney Kessler,M. Kessler,50,True,,233214,16124715
True,Round of 128,23,Lucia Bronzetti,L. Bronzetti,173,False,WC,110055,16124715
True,Round of 128,24,Iva Jovic,I. Jovic,17,True,16,420632,
True,Round of 128,24,Bye,Bye,,,,,
True,Round of 128,25,Jasmine Paolini,J. Paolini,8,True,9,69208,
True,Round of 128,25,Bye,Bye,,,,,
True,Round of 128,26,Leolia Jeanjean,L. Jeanjean,127,True,Q,112957,16133493
True,Round of 128,26,Beatriz Haddad Maia,B. Haddad Maia,78,False,,59702,16133493
True,Round of 128,27,Panna Udvardy,P. Udvardy,71,True,,218347,16133491
True,Round of 128,27,Alina Korneeva,A. Korneeva,122,False,Q,396293,16133491
True,Round of 128,28,Elise Mertens,E. Mertens,22,True,21,78551,
True,Round of 128,28,Bye,Bye,,,,,
True,Round of 128,29,Maya Joint,M. Joint,34,True,29,376006,
True,Round of 128,29,Bye,Bye,,,,,
True,Round of 128,30,Viktorija Golubic,V. Golubic,90,True,,48455,16133490
True,Round of 128,30,Federica Urgesi,F. Urgesi,410,False,Q,362614,16133490
True,Round of 128,31,Antonia Ruzic,A. Ružić,59,True,,316468,16124708
True,Round of 128,31,Kamilla Rakhimova,K. Rakhimova,76,False,,217828,16124708
True,Round of 128,32,Mirra Andreeva,M. Andreeva,7,True,8,406776,
True,Round of 128,32,Bye,Bye,,,,,
True,Round of 128,33,Jessica Pegula,J. Pegula,5,True,5,44834,
True,Round of 128,33,Bye,Bye,,,,,
True,Round of 128,34,Zeynep Sonmez,Z. Sönmez,65,True,,237669,16124714
True,Round of 128,34,Jennifer Ruggeri,J. Ruggeri,265,False,WC,302539,16124714
True,Round of 128,35,Oksana Selekhmeteva,O. Selekhmeteva,84,False,,287804,16133487
True,Round of 128,35,Rebeka Masarova,R. Masarova,160,True,Q,124804,16133487
True,Round of 128,36,Leylah Fernandez,L. Fernandez,23,True,25,250279,
True,Round of 128,36,Bye,Bye,,,,,
True,Round of 128,37,Liudmila Samsonova,L. Samsonova,21,True,20,128584,
True,Round of 128,37,Bye,Bye,,,,,
True,Round of 128,38,Ann Li,A. Li,29,True,,222826,16124707
True,Round of 128,38,Shuai Zhang,S. Zhang,73,False,,19607,16124707
True,Round of 128,39,Dalma Galfi,D. Galfi,119,False,Q,97995,16133486
True,Round of 128,39,Anastasia Potapova,A. Potapova,38,True,Q,210831,16133486
True,Round of 128,40,Karolina Muchova,K. Muchova,11,True,11,85077,
True,Round of 128,40,Bye,Bye,,,,,
True,Round of 128,41,Naomi Osaka,N. Osaka,16,True,15,66476,
True,Round of 128,41,Bye,Bye,,,,,
True,Round of 128,42,Katie Boulter,K. Boulter,60,False,,62924,16124711
True,Round of 128,42,Eva Lys,E. Lys,80,True,,215773,16124711
True,Round of 128,43,Martina Trevisan,M. Trevisan,516,False,WC,153860,16124710
True,Round of 128,43,Talia Gibson,T. Gibson,62,True,,308088,16124710
True,Round of 128,44,Diana Shnaider,D. Shnaider,20,True,19,318575,
True,Round of 128,44,Bye,Bye,,,,,
True,Round of 128,45,Emma Navarro,E. Navarro,35,True,28,207979,
True,Round of 128,45,Bye,Bye,,,,,
True,Round of 128,46,Elisabetta Cocciaretto,E. Cocciaretto,41,True,,264980,16133496
True,Round of 128,46,Sinja Kraus,S. Kraus,103,False,Q,246159,16133496
True,Round of 128,47,Caty Mcnally,C. McNally,63,True,,220592,16124704
True,Round of 128,47,Daria Kasatkina,D. Kasatkina,66,False,,132370,16124704
True,Round of 128,48,Iga Swiatek,I. Swiatek,3,True,4,228272,
True,Round of 128,48,Bye,Bye,,,,,
True,Round of 128,49,Elina Svitolina,E. Svitolina,10,True,7,51293,
True,Round of 128,49,Bye,Bye,,,,,
True,Round of 128,50,Noemi Basiletti,N. Basiletti,427,True,Q,374193,16133473
True,Round of 128,50,Ajla Tomljanovic,A. Tomljanovic,88,False,LL,34486,16133473
True,Round of 128,51,Yuliia Starodubtseva,Y. Starodubtseva,57,False,,206617,16133485
True,Round of 128,51,Simona Waltert,S. Waltert,91,True,Q,215166,16133485
True,Round of 128,52,Hailey Baptiste,H. Baptiste,25,True,32,248326,
True,Round of 128,52,Bye,Bye,,,,,
True,Round of 128,53,Madison Keys,M. Keys,19,True,17,35424,
True,Round of 128,53,Bye,Bye,,,,,
True,Round of 128,54,Peyton Stearns,P. Stearns,49,True,,261095,16124703
True,Round of 128,54,Janice Tjen,J. Tjen,40,False,,291733,16124703
True,Round of 128,55,Lisa Pigato,L. Pigato,141,False,WC,276767,16124705
True,Round of 128,55,Tyra Caterina Grant,T. Grant,234,True,WC,460330,16124705
True,Round of 128,56,Nikola Bartunkova,N. Bartůňková,94,True,LL,348987,
True,Round of 128,56,Bye,Bye,,,,,
True,Round of 128,57,Ekaterina Alexandrova,E. Alexandrova,14,True,14,67759,
True,Round of 128,57,Bye,Bye,,,,,
True,Round of 128,58,Laura Siegemund,L. Siegemund,46,True,,37508,16124706
True,Round of 128,58,Sara Bejlek,S. Bejlek,37,False,,360184,16124706
True,Round of 128,59,Karolina Pliskova,K. Plíšková,130,True,,20732,16124709
True,Round of 128,59,Jessica Bouzas Maneiro,J. Bouzas Maneiro,51,False,,275105,16124709
True,Round of 128,60,Jaqueline Cristian,J. Cristian,28,True,33,72758,
True,Round of 128,60,Bye,Bye,,,,,
True,Round of 128,61,Xinyu Wang,X. Wang,33,True,31,227431,
True,Round of 128,61,Bye,Bye,,,,,
True,Round of 128,62,Alexandra Eala,A. Eala,42,True,,327924,16124702
True,Round of 128,62,Magdalena Frech,M. Frech,45,False,,71250,16124702
True,Round of 128,63,Lilli Tagger,L. Tagger,92,False,LL,418056,16133474
True,Round of 128,63,Maria Sakkari,M. Sakkari,47,True,,65950,16133474
True,Round of 128,64,Elena Rybakina,E. Rybakina,2,True,2,186312,
True,Round of 128,64,Bye,Bye,,,,,
True,Round of 64,1,Aryna Sabalenka,A. Sabalenka,1,True,1,157754,16124511
True,Round of 64,1,Barbora Krejcikova,B. Krejčiková,53,False,,60398,16124511
True,Round of 64,2,Tatjana Maria,T. Maria,54,False,,19520,16136626
True,Round of 64,2,Sorana Cirstea,S. Cirstea,27,True,26,19728,16136626
True,Round of 64,3,Clara Tauson,C. Tauson,18,False,18,252168,16124517
True,Round of 64,3,Oleksandra Oliynykova,O. Oliynykova,68,True,,250859,16124517
True,Round of 64,4,Anastasia Zakharova,A. Zakharova,81,False,,255391,16132908
True,Round of 64,4,Linda Noskova,L. Noskova,13,True,13,274049,16132908
True,Round of 64,5,Belinda Bencic,B. Bencic,12,True,12,63957,16131755
True,Round of 64,5,Bianca Andreescu,B. Andreescu,137,False,WC,202924,16131755
True,Round of 64,6,Katerina Siniakova,K. Siniakova,39,False,,72376,16137081
True,Round of 64,6,Anna Kalinskaya,A. Kalinskaya,24,True,22,179146,16137081
True,Round of 64,7,Cristina Bucsa,C. Bucsa,31,False,30,99131,16131756
True,Round of 64,7,Qinwen Zheng,Q. Zheng,32,True,,257784,16131756
True,Round of 64,8,Jelena Ostapenko,J. Ostapenko,36,True,,64496,16144070
True,Round of 64,8,Elena Gabriela Ruse,E. Ruse,67,False,LL,103901,16144070
True,Round of 64,9,Coco Gauff,C. Gauff,4,True,3,264983,16137706
True,Round of 64,9,Tereza Valentova,T. Valentová,48,False,,381430,16137706
True,Round of 64,10,Solana Sierra,S. Sierra,72,True,,298913,16137556
True,Round of 64,10,Anhelina Kalinina,A. Kalinina,93,False,Q,90664,16137556
True,Round of 64,11,Marie Bouzkova,M. Bouzkova,26,False,24,105463,16137545
True,Round of 64,11,Taylor Townsend,T. Townsend,96,True,Q,51387,16137545
True,Round of 64,12,Mccartney Kessler,M. Kessler,50,False,,233214,16132909
True,Round of 64,12,Iva Jovic,I. Jovic,17,True,16,420632,16132909
True,Round of 64,13,Jasmine Paolini,J. Paolini,8,True,9,69208,16137106
True,Round of 64,13,Leolia Jeanjean,L. Jeanjean,127,False,Q,112957,16137106
True,Round of 64,14,Panna Udvardy,P. Udvardy,71,False,,218347,16136628
True,Round of 64,14,Elise Mertens,E. Mertens,22,True,21,78551,16136628
True,Round of 64,15,Maya Joint,M. Joint,34,False,29,376006,16137086
True,Round of 64,15,Viktorija Golubic,V. Golubic,90,True,,48455,16137086
