round,block,player1,player1_ranking,player1_seed,player1_winner,player1_W,player1_L,player1_winrate,player1_best_round,player2,player2_ranking,player2_seed,player2_winner,player2_W,player2_L,player2_winrate,player2_best_round
Final,1,Wsf1,,,False,0,0,0.0,,Wsf2,,,False,0,0,0.0,
Quarterfinal,1,Qf1,,,False,0,0,0.0,,Qf2,,,False,0,0,0.0,
Quarterfinal,2,Qf3,,,False,0,0,0.0,,Qf4,,,False,0,0,0.0,
Quarterfinal,3,Qf5,,,False,0,0,0.0,,Qf6,,,False,0,0,0.0,
Quarterfinal,4,Qf7,,,False,0,0,0.0,,Qf8,,,False,0,0,0.0,
Round of 128,2,Barbora Krejcikova,53.0,,True,3,2,0.6,R16,Elsa Jacquemot,64.0,,False,0,0,0.0,
Round of 128,3,Tatjana Maria,54.0,,True,1,2,0.333,R64,Magda Linette,55.0,,False,4,5,0.444,R32
Round of 128,6,Oleksandra Oliynykova,68.0,,True,0,0,0.0,,Petra Marcinko,69.0,,False,0,0,0.0,
Round of 128,7,Dayana Yastremska,52.0,,False,3,5,0.375,R16,Anastasia Zakharova,81.0,,True,0,0,0.0,
Round of 128,10,Sofia Kenin,74.0,,False,7,6,0.538,R16,Bianca Andreescu,137.0,WC,True,6,3,0.667,QF
Round of 128,11,Katerina Siniakova,39.0,,True,4,6,0.4,R32,Lois Boisson,43.0,,False,0,0,0.0,
Round of 128,14,Qinwen Zheng,32.0,,True,10,3,0.769,SF,Anna Bondar,58.0,,False,2,2,0.5,R32
Round of 128,15,Jelena Ostapenko,36.0,,True,16,10,0.615,SF,Lucrezia Stefanini,154.0,WC,False,1,3,0.25,R64
Round of 128,18,Tereza Valentova,48.0,,True,0,0,0.0,,Yulia Putintseva,77.0,,False,10,8,0.556,QF
Round of 128,19,Solana Sierra,72.0,,True,0,0,0.0,,Tamara Korpatsch,87.0,Q,False,0,0,0.0,
Round of 128,22,Taylor Townsend,96.0,Q,True,2,2,0.5,R32,Nuria Brancaccio,171.0,WC,False,0,3,0.0,R128
Round of 128,23,Mccartney Kessler,50.0,,True,0,1,0.0,R128,Lucia Bronzetti,173.0,WC,False,1,4,0.2,R64
Round of 128,26,Beatriz Haddad Maia,78.0,,False,4,3,0.571,QF,Leolia Jeanjean,127.0,Q,True,0,0,0.0,
Round of 128,27,Panna Udvardy,71.0,,True,0,0,0.0,,Alina Korneeva,122.0,Q,False,0,0,0.0,
Round of 128,30,Viktorija Golubic,90.0,,True,0,2,0.0,R64,Federica Urgesi,410.0,Q,False,0,1,0.0,R128
Round of 128,31,Antonia Ruzic,59.0,,True,1,1,0.5,R64,Kamilla Rakhimova,76.0,,False,1,2,0.333,R64
Round of 128,34,Zeynep Sonmez,65.0,,True,0,0,0.0,,Jennifer Ruggeri,265.0,WC,False,0,0,0.0,
Round of 128,35,Oksana Selekhmeteva,84.0,,False,0,0,0.0,,Rebeka Masarova,160.0,Q,True,0,1,0.0,R128
Round of 128,38,Ann Li,29.0,,True,0,1,0.0,R128,Shuai Zhang,73.0,,False,5,7,0.417,QF
Round of 128,39,Anastasia Potapova,38.0,Q,True,3,3,0.5,R32,Dalma Galfi,119.0,Q,False,0,0,0.0,
Round of 128,42,Katie Boulter,60.0,,False,0,2,0.0,R64,Eva Lys,80.0,,True,1,1,0.5,R64
Round of 128,43,Talia Gibson,62.0,,True,0,0,0.0,,Martina Trevisan,516.0,WC,False,0,4,0.0,R64
Round of 128,46,Elisabetta Cocciaretto,41.0,,True,3,7,0.3,R64,Sinja Kraus,103.0,Q,False,0,0,0.0,
Round of 128,47,Caty Mcnally,63.0,,True,1,1,0.5,R64,Daria Kasatkina,66.0,,False,15,10,0.6,SF
Round of 128,50,Ajla Tomljanovic,88.0,LL,False,3,6,0.333,R32,Noemi Basiletti,427.0,Q,True,0,0,0.0,
Round of 128,51,Yuliia Starodubtseva,57.0,,False,0,0,0.0,,Simona Waltert,91.0,Q,True,0,0,0.0,
Round of 128,54,Janice Tjen,40.0,,False,0,0,0.0,,Peyton Stearns,49.0,,True,5,1,0.833,SF
Round of 128,55,Lisa Pigato,141.0,WC,False,1,2,0.333,R64,Tyra Caterina Grant,234.0,WC,True,0,1,0.0,R128
Round of 128,58,Sara Bejlek,37.0,,False,0,0,0.0,,Laura Siegemund,46.0,,True,3,4,0.429,R32
Round of 128,59,Jessica Bouzas Maneiro,51.0,,False,1,1,0.5,R64,Karolina Pliskova,130.0,,True,15,8,0.652,W
Round of 128,62,Alexandra Eala,42.0,,True,0,1,0.0,R128,Magdalena Frech,45.0,,False,3,3,0.5,R32
Round of 128,63,Maria Sakkari,47.0,,True,13,7,0.65,SF,Lilli Tagger,92.0,LL,False,0,0,0.0,
Round of 16,1,Linda Noskova,13.0,13,False,3,3,0.5,R32,Sorana Cirstea,27.0,26,False,5,7,0.417,R16
Round of 16,2,Anna Kalinskaya,24.0,22,False,3,3,0.5,R32,Jelena Ostapenko,36.0,,False,16,10,0.615,SF
Round of 16,3,Coco Gauff,4.0,3,False,17,6,0.739,F,Iva Jovic,17.0,16,False,0,0,0.0,
Round of 16,4,Mirra Andreeva,7.0,8,False,3,2,0.6,QF,Elise Mertens,22.0,21,False,6,6,0.5,QF
Round of 16,5,R16P9,,,False,0,0,0.0,,R16P10,,,False,0,0,0.0,
Round of 16,6,R16P11,,,False,0,0,0.0,,R16P12,,,False,0,0,0.0,
Round of 16,7,R16P13,,,False,0,0,0.0,,R16P14,,,False,0,0,0.0,
Round of 16,8,R16P15,,,False,0,0,0.0,,R16P16,,,False,0,0,0.0,
Round of 32,1,Aryna Sabalenka,1.0,1,False,12,7,0.632,F,Sorana Cirstea,27.0,26,True,5,7,0.417,R16
Round of 32,2,Linda Noskova,13.0,13,True,3,3,0.5,R32,Oleksandra Oliynykova,68.0,,False,0,0,0.0,
Round of 32,3,Belinda Bencic,12.0,12,False,3,7,0.3,R32,Anna Kalinskaya,24.0,22,True,3,3,0.5,R32
Round of 32,4,Qinwen Zheng,32.0,,False,10,3,0.769,SF,Jelena Ostapenko,36.0,,True,16,10,0.615,SF
Round of 32,5,Coco Gauff,4.0,3,True,17,6,0.739,F,Solana Sierra,72.0,,False,0,0,0.0,
Round of 32,6,Iva Jovic,17.0,16,True,0,0,0.0,,Taylor Townsend,96.0,Q,False,2,2,0.5,R32
Round of 32,7,Jasmine Paolini,8.0,9,False,8,5,0.615,W,Elise Mertens,22.0,21,True,6,6,0.5,QF
Round of 32,8,Mirra Andreeva,7.0,8,True,3,2,0.6,QF,Viktorija Golubic,90.0,,False,0,2,0.0,R64
Round of 32,9,Jessica Pegula,5.0,5,False,5,4,0.556,QF,Rebeka Masarova,160.0,Q,False,0,1,0.0,R128
Round of 32,10,Liudmila Samsonova,21.0,20,False,1,4,0.2,R32,Anastasia Potapova,38.0,Q,False,3,3,0.5,R32
Round of 32,11,Naomi Osaka,16.0,15,False,9,5,0.643,QF,Diana Shnaider,20.0,19,False,5,2,0.714,QF
Round of 32,12,Iga Swiatek,3.0,4,False,21,3,0.875,W,Elisabetta Cocciaretto,41.0,,False,3,7,0.3,R64
Round of 32,13,Elina Svitolina,10.0,7,False,20,9,0.69,W,Hailey Baptiste,25.0,32,False,2,1,0.667,R32
Round of 32,14,Madison Keys,19.0,17,False,16,10,0.615,F,Nikola Bartunkova,94.0,LL,False,0,0,0.0,
Round of 32,15,Laura Siegemund,46.0,,False,3,4,0.429,R32,Karolina Pliskova,130.0,,False,15,8,0.652,W
Round of 32,16,Elena Rybakina,2.0,2,False,11,3,0.786,W,Alexandra Eala,42.0,,False,0,1,0.0,R128
Round of 64,1,Aryna Sabalenka,1.0,1,True,12,7,0.632,F,Barbora Krejcikova,53.0,,False,3,2,0.6,R16
Round of 64,2,Sorana Cirstea,27.0,26,True,5,7,0.417,R16,Tatjana Maria,54.0,,False,1,2,0.333,R64
Round of 64,3,Clara Tauson,18.0,18,False,3,2,0.6,R16,Oleksandra Oliynykova,68.0,,True,0,0,0.0,
Round of 64,4,Linda Noskova,13.0,13,True,3,3,0.5,R32,Anastasia Zakharova,81.0,,False,0,0,0.0,
Round of 64,5,Belinda Bencic,12.0,12,True,3,7,0.3,R32,Bianca Andreescu,137.0,WC,False,6,3,0.667,QF
Round of 64,6,Anna Kalinskaya,24.0,22,True,3,3,0.5,R32,Katerina Siniakova,39.0,,False,4,6,0.4,R32
Round of 64,7,Cristina Bucsa,31.0,30,False,0,2,0.0,R128,Qinwen Zheng,32.0,,True,10,3,0.769,SF
Round of 64,8,Jelena Ostapenko,36.0,,True,16,10,0.615,SF,Elena Gabriela Ruse,67.0,LL,False,3,3,0.5,R32
Round of 64,9,Coco Gauff,4.0,3,True,17,6,0.739,F,Tereza Valentova,48.0,,False,0,0,0.0,
Round of 64,10,Solana Sierra,72.0,,True,0,0,0.0,,Anhelina Kalinina,93.0,Q,False,7,2,0.778,F
Round of 64,11,Marie Bouzkova,26.0,24,False,5,3,0.625,R16,Taylor Townsend,96.0,Q,True,2,2,0.5,R32
Round of 64,12,Iva Jovic,17.0,16,True,0,0,0.0,,Mccartney Kessler,50.0,,False,0,1,0.0,R128
Round of 64,13,Jasmine Paolini,8.0,9,True,8,5,0.615,W,Leolia Jeanjean,127.0,Q,False,0,0,0.0,
Round of 64,14,Elise Mertens,22.0,21,True,6,6,0.5,QF,Panna Udvardy,71.0,,False,0,0,0.0,
Round of 64,15,Maya Joint,34.0,29,False,0,1,0.0,R128,Viktorija Golubic,90.0,,True,0,2,0.0,R64
Round of 64,16,Mirra Andreeva,7.0,8,True,3,2,0.6,QF,Antonia Ruzic,59.0,,False,1,1,0.5,R64
Round of 64,17,Jessica Pegula,5.0,5,True,5,4,0.556,QF,Zeynep Sonmez,65.0,,False,0,0,0.0,
