tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Tehran WCT,A,1971-05-15,Clay,R32,3,John Newcombe,Roy Barth,W/O,,,,
Tehran WCT,A,1971-05-15,Clay,R32,3,Charlie Pasarell,Roger Taylor,W/O,,,,
Tehran WCT,A,1971-05-15,Clay,R32,3,Tony Roche,Owen Davidson,6-2 6-0,,,,
Tehran WCT,A,1971-05-15,Clay,R32,3,Bill Bowrey,Bob Lutz,2-6 7-6 6-4,,,,
Tehran WCT,A,1971-05-15,Clay,R32,3,Rod Laver,Frew Mcmillan,6-4 6-1,,,,
Tehran WCT,A,1971-05-15,Clay,R32,3,Brian Fairlie,Dick Crealy,7-6 7-6,,,,
Tehran WCT,A,1971-05-15,Clay,R32,3,Robert Maud,Ken Rosewall,W/O,,,,
Tehran WCT,A,1971-05-15,Clay,R32,3,Marty Riessen,Fred Stolle,6-4 7-5,,,,
Tehran WCT,A,1971-05-15,Clay,R32,3,Andres Gimeno,Allan Stone,6-4 6-1,,,,
Tehran WCT,A,1971-05-15,Clay,R32,3,Tom Okker,Torben Ulrich,7-6 6-3,,,,
Tehran WCT,A,1971-05-15,Clay,R32,3,John Alexander,Nikola Pilic,6-2 6-2,,,,
Tehran WCT,A,1971-05-15,Clay,R32,3,Ismail El Shafei,Cliff Drysdale,3-6 6-4 7-6,,,,
Tehran WCT,A,1971-05-15,Clay,R32,3,Dennis Ralston,Phil Dent,6-2 6-0,,,,
Tehran WCT,A,1971-05-15,Clay,R32,3,Roy Emerson,Graham Stilwell,6-4 6-2,,,,
Tehran WCT,A,1971-05-15,Clay,R32,3,Mark Cox,Ray Ruffels,6-1 6-2,,,,
Tehran WCT,A,1971-05-15,Clay,R32,3,Arthur Ashe,Bob Carmichael,6-4 6-2,,,,
Tehran WCT,A,1971-05-15,Clay,R16,3,John Newcombe,Charlie Pasarell,6-1 7-5,,,,
Tehran WCT,A,1971-05-15,Clay,R16,3,Tony Roche,Bill Bowrey,7-6 6-3,,,,
Tehran WCT,A,1971-05-15,Clay,R16,3,Rod Laver,Brian Fairlie,6-1 6-0,,,,
Tehran WCT,A,1971-05-15,Clay,R16,3,Marty Riessen,Robert Maud,6-1 6-4,,,,
Tehran WCT,A,1971-05-15,Clay,R16,3,Andres Gimeno,Tom Okker,W/O,,,,
Tehran WCT,A,1971-05-15,Clay,R16,3,John Alexander,Ismail El Shafei,6-0 6-4,,,,
Tehran WCT,A,1971-05-15,Clay,R16,3,Roy Emerson,Dennis Ralston,W/O,,,,
Tehran WCT,A,1971-05-15,Clay,R16,3,Arthur Ashe,Mark Cox,7-6 6-2,,,,
Tehran WCT,A,1971-05-15,Clay,QF,3,John Newcombe,Tony Roche,7-6 7-6,,,,
Tehran WCT,A,1971-05-15,Clay,QF,3,Marty Riessen,Rod Laver,6-4 6-4,,,,
Tehran WCT,A,1971-05-15,Clay,QF,3,John Alexander,Andres Gimeno,4-6 7-6 6-4,,,,
Tehran WCT,A,1971-05-15,Clay,QF,3,Arthur Ashe,Roy Emerson,6-3 6-2,,,,
Tehran WCT,A,1971-05-15,Clay,SF,3,Marty Riessen,John Newcombe,6-3 7-6,,,,
Tehran WCT,A,1971-05-15,Clay,SF,3,John Alexander,Arthur Ashe,7-6 6-4,,,,
Tehran WCT,A,1971-05-15,Clay,F,5,Marty Riessen,John Alexander,6-7 6-1 6-3 7-6,,,,
Madrid,A,1971-05-03,Clay,R64,3,Javier Soler,Ernesto Vazquez Barreira,10-8 7-5,,,,
Madrid,A,1971-05-03,Clay,R64,3,Antonio Solana,Pedro Figar,6-4 8-6,,,,
Madrid,A,1971-05-03,Clay,R64,3,Rafael Ruiz,Jl Cue,6-1 6-3,,,,
Madrid,A,1971-05-03,Clay,R64,3,Alberto Riba,Ramon Gallardo,6-2 6-2,,,,
Madrid,A,1971-05-03,Clay,R64,3,Juan Ignacio Muntanola,Jose Manuel Villota,6-3 6-3,,,,
Madrid,A,1971-05-03,Clay,R64,3,Jose Moreno,Alberto Comas,6-1 6-3,,,,
Madrid,A,1971-05-03,Clay,R64,3,Ivan Molina,J Griman,6-0 6-2,,,,
Madrid,A,1971-05-03,Clay,R64,3,Antonio Martinez,Luis Moreira,6-3 6-4,,,,
Madrid,A,1971-05-03,Clay,R64,3,Jose Higueras,E Torriente,6-0 6-4,,,,
Madrid,A,1971-05-03,Clay,R64,3,Juan Herrera,Teodoro Gurrea,6-1 6-2,,,,
Madrid,A,1971-05-03,Clay,R64,3,Juan Gisbert,Pedro Barrios,4-6 6-1 6-3,,,,
Madrid,A,1971-05-03,Clay,R64,3,Ignacio Garcia Atance,Julian Olave,6-2 7-9 7-5,,,,
Madrid,A,1971-05-03,Clay,R64,3,Jose Manuel Dominguez,Salvador Cabeza,6-3 6-4,,,,
Madrid,A,1971-05-03,Clay,R64,3,Jose Castanon,Luis Bruguera,6-3 6-3,,,,
Madrid,A,1971-05-03,Clay,R64,3,Juan Carlos Arroyo,Guy Fritz,6-4 6-1,,,,
Madrid,A,1971-05-03,Clay,R64,3,William Alvarez,Jose Guerrero,6-0 6-2,,,,
Madrid,A,1971-05-03,Clay,R32,3,Jairo Velasco,Juan Gisbert,6-4 14-12,,,,
Madrid,A,1971-05-03,Clay,R32,3,Ion Tiriac,Juan Carlos Arroyo,6-0 6-0,,,,
Madrid,A,1971-05-03,Clay,R32,3,Manuel Santana,Jose Manuel Dominguez,6-0 6-1,,,,
Madrid,A,1971-05-03,Clay,R32,3,Ilie Nastase,William Alvarez,6-3 6-4,,,,
Madrid,A,1971-05-03,Clay,R32,3,Martin Mulligan,Rafael Ruiz,6-1 6-2,,,,
Madrid,A,1971-05-03,Clay,R32,3,Raymond Moore,Antonio Solana,6-3 6-2,,,,
