rank,name,ioc,dob
1,Carlos Alcaraz,ESP,2003-05-05
2,Jannik Sinner,ITA,2001-08-16
3,Alexander Zverev,GER,1997-04-20
4,Novak Djokovic,SRB,1987-05-22
5,Lorenzo Musetti,ITA,2002-03-03
6,Alex De Minaur,AUS,1999-02-17
7,Felix Auger Aliassime,CAN,2000-08-08
8,Ben Shelton,USA,2002-10-09
9,Taylor Fritz,USA,1997-10-28
10,Daniil Medvedev,RUS,1996-02-11
11,Alexander Bublik,KAZ,1997-06-17
12,Casper Ruud,NOR,1998-12-22
13,Jiri Lehecka,CZE,2001-11-08
14,Karen Khachanov,RUS,1996-05-21
15,Andrey Rublev,RUS,1997-10-20
16,Flavio Cobolli,ITA,2002-05-06
17,Alejandro Davidovich Fokina,ESP,1999-06-05
18,Tommy Paul,USA,1997-05-17
19,Francisco Cerundolo,ARG,1998-08-13
20,Frances Tiafoe,USA,1998-01-20
21,Luciano Darderi,ITA,2002-02-14
22,Learner Tien,USA,2005-12-02
23,Valentin Vacherot,MON,1998-11-16
24,Cameron Norrie,GBR,1995-08-23
25,Jack Draper,GBR,2001-12-22
26,Jakub Mensik,CZE,2005-09-01
27,Arthur Rinderknech,FRA,1995-07-23
28,Arthur Fils,FRA,2004-06-12
29,Holger Rune,DEN,2003-04-29
30,Tomas Martin Etcheverry,ARG,1999-07-18
31,Corentin Moutet,FRA,1999-04-19
32,Tallon Griekspoor,NED,1996-07-02
33,Brandon Nakashima,USA,2001-08-03
34,Ugo Humbert,FRA,1998-06-26
35,Alex Michelsen,USA,2004-08-25
36,Gabriel Diallo,CAN,2001-09-24
37,Jaume Munar,ESP,1997-05-05
38,Denis Shapovalov,CAN,1999-04-15
39,Alejandro Tabilo,CHI,1997-06-02
40,Joao Fonseca,BRA,2006-08-21
41,Sebastian Korda,USA,2000-07-05
42,Mariano Navone,ARG,2001-02-27
43,Fabian Marozsan,HUN,1999-10-08
44,Alexei Popyrin,AUS,1999-08-05
45,Terence Atmane,FRA,2002-01-09
46,Adrian Mannarino,FRA,1988-06-29
47,Zizou Bergs,BEL,1999-06-03
48,Stefanos Tsitsipas,GRE,1998-08-12
49,Daniel Altmaier,GER,1998-09-12
50,Nuno Borges,POR,1997-02-19
51,Marin Cilic,CRO,1988-09-28
52,Botic Van De Zandschulp,NED,1995-10-04
53,Tomas Machac,CZE,2000-10-13
54,Ethan Quinn,USA,2004-03-12
55,Yannick Hanfmann,GER,1991-11-13
56,Giovanni Mpetshi Perricard,FRA,2003-07-08
57,Rafael Jodar,ESP,2006-09-17
58,Marton Fucsovics,HUN,1992-02-08
59,Miomir Kecmanovic,SRB,1999-08-31
60,Kamil Majchrzak,POL,1996-01-13
61,Ignacio Buse,PER,2004-03-25
62,Roman Andres Burruchaga,ARG,2002-01-23
63,Camilo Ugo Carabelli,ARG,1999-06-17
64,Jenson Brooksby,USA,2000-10-26
65,Sebastian Baez,ARG,2000-12-28
66,Lorenzo Sonego,ITA,1995-05-11
67,Reilly Opelka,USA,1997-08-28
68,Raphael Collignon,BEL,2002-01-13
69,Marcos Giron,USA,1993-07-24
70,Arthur Cazaux,FRA,2002-08-23
71,Juan Manuel Cerundolo,ARG,2001-11-15
72,Thiago Agustin Tirante,ARG,2001-04-10
73,Valentin Royer,FRA,2001-05-29
74,Hubert Hurkacz,POL,1997-02-11
75,Vit Kopriva,CZE,1997-06-15
76,Marco Trungelliti,ARG,1990-01-31
77,Alexander Shevchenko,KAZ,2000-11-29
78,Jan Lennard Struff,GER,1990-04-25
79,Mattia Bellucci,ITA,2001-06-01
80,Eliot Spizzirri,USA,2001-12-23
81,Damir Dzumhur,BIH,1992-05-20
82,Sebastian Ofner,AUT,1996-05-12
83,Hamad Medjedovic,SRB,2003-07-18
84,Zachary Svajda,USA,2002-11-29
85,Roberto Bautista Agut,ESP,1988-04-14
86,James Duckworth,AUS,1992-01-21
87,Aleksandar Vukic,AUS,1996-04-06
88,Alexandre Muller,FRA,1997-02-01
89,Quentin Halys,FRA,1996-10-26
90,Matteo Berrettini,ITA,1996-04-12
91,Alexander Blockx,BEL,2005-04-08
92,Pablo Carreno Busta,ESP,1991-07-12
93,Grigor Dimitrov,BUL,1991-05-16
94,Luca Van Assche,FRA,2004-05-11
95,Patrick Kypson,USA,1999-10-28
96,Adolfo Daniel Vallejo,PAR,2004-04-28
97,Jacob Fearnley,GBR,2001-07-15
98,Aleksandar Kovacevic,USA,1998-08-29
99,Francisco Comesana,ARG,2000-10-06
100,Rinky Hijikata,AUS,2001-02-23
101,Daniel Merida Aguilar,ESP,2004-09-26
102,Benjamin Bonzi,FRA,1996-06-09
103,Emilio Nava,USA,2001-12-02
104,Stan Wawrinka,SUI,1985-03-28
105,Martin Landaluce,ESP,2006-01-08
106,Dino Prizmic,CRO,2005-08-05
107,Matteo Arnaldi,ITA,2001-02-22
108,Jesper De Jong,NED,2000-05-31
109,Cristian Garin,CHI,1996-05-30
110,Filip Misolic,AUT,2001-08-08
111,Adam Walton,AUS,1999-04-17
112,Sho Shimabukuro,JPN,1997-07-30
113,Francesco Maestrelli,ITA,2002-12-21
114,Titouan Droguet,FRA,2001-06-15
115,Yibing Wu,CHN,1999-10-14
116,Tristan Schoolkate,AUS,2001-02-26
117,Hugo Gaston,FRA,2000-09-26
118,Jan Choinski,GBR,1996-06-10
119,Pedro Martinez,ESP,1997-04-26
120,Carlos Taberner,ESP,1997-08-08
121,Dalibor Svrcina,CZE,2002-10-02
122,Vilius Gaubas,LTU,2004-12-29
123,Tomas Barrios Vera,CHI,1997-12-10
124,Nikoloz Basilashvili,GEO,1992-02-23
125,Coleman Wong,HKG,2004-06-06
126,Mackenzie Mcdonald,USA,1995-04-16
127,Martin Damm,USA,2003-09-30
128,Dusan Lajovic,SRB,1990-06-30
129,Henrique Rocha,POR,2004-04-06
130,Shintaro Mochizuki,JPN,2003-06-02
131,Elmer Moller,DEN,2003-07-09
132,Jordan Thompson,AUS,1994-04-20
133,Otto Virtanen,FIN,2001-06-21
134,Andrea Pellegrino,ITA,1997-03-23
135,Dane Sweeny,AUS,2001-02-12
136,Jack Pinnington Jones,GBR,2003-03-30
137,Arthur Gea,FRA,2005-01-02
138,Borna Gojo,CRO,1998-02-27
139,Nicolai Budkov Kjaer,NOR,2006-09-01
140,Luca Nardi,ITA,2003-08-06
141,Stefano Travaglia,ITA,1991-12-28
142,Christopher Oconnell,AUS,1994-06-03
143,Jaime Faria,POR,2003-08-06
144,Liam Draxl,CAN,2001-12-05
