tourney_name,tourney_level,tourney_date,surface,round,best_of,winner_name,loser_name,score,winner_rank,loser_rank,winner_rank_points,loser_rank_points
Guadalajara Olympics Demo,O,1968-10-14,Clay,R16,3,Edda Buding,Patricia Montano,7-5 2-6 6-4,,,,
Guadalajara Olympics Demo,O,1968-10-14,Clay,R16,3,Lucia Gongora,Valerie Ziegenfuss,6-1 6-2,,,,
Guadalajara Olympics Demo,O,1968-10-14,Clay,R16,3,Maria Eugenia Guzman,Zaiga Yansone,6-2 6-2,,,,
Guadalajara Olympics Demo,O,1968-10-14,Clay,R16,3,Julie Heldman,Suzana Gesteira,6-1 6-2,,,,
Guadalajara Olympics Demo,O,1968-10-14,Clay,R16,3,Rosie Reyes,Ana Maria Ycaza,6-1 6-1,,,,
Guadalajara Olympics Demo,O,1968-10-14,Clay,QF,3,Peaches Bartkowicz,Edda Buding,4-6 6-4 7-5,,,,
Guadalajara Olympics Demo,O,1968-10-14,Clay,QF,3,Lucia Gongora,Maria Eugenia Guzman,6-2 6-2,,,,
Guadalajara Olympics Demo,O,1968-10-14,Clay,QF,3,Julie Heldman,Rosie Reyes,6-3 6-3,,,,
Guadalajara Olympics Demo,O,1968-10-14,Clay,QF,3,Helga Masthoff,Cecilia Rosado,6-1 6-1,,,,
Guadalajara Olympics Demo,O,1968-10-14,Clay,SF,3,Peaches Bartkowicz,Lucia Gongora,6-2 6-2,,,,
Guadalajara Olympics Demo,O,1968-10-14,Clay,SF,3,Helga Masthoff,Julie Heldman,6-3 1-6 6-3,,,,
Guadalajara Olympics Demo,O,1968-10-14,Clay,F,3,Helga Masthoff,Peaches Bartkowicz,6-4 6-3,,,,
Mexico City Olympics Exhibition,O,1968-10-24,Clay,R16,3,Rosie Reyes,Valerie Ziegenfuss,6-3 6-2,,,,
Mexico City Olympics Exhibition,O,1968-10-24,Clay,R16,3,Suzana Gesteira,Patricia Montano,3-6 6-1 6-4,,,,
Mexico City Olympics Exhibition,O,1968-10-24,Clay,R16,3,Julie Heldman,Cecilia Rosado,6-1 6-0,,,,
Mexico City Olympics Exhibition,O,1968-10-24,Clay,QF,3,Peaches Bartkowicz,Zaiga Yansone,6-3 7-5,,,,
Mexico City Olympics Exhibition,O,1968-10-24,Clay,QF,3,Suzana Gesteira,Rosie Reyes,7-5 5-7 6-4,,,,
Mexico City Olympics Exhibition,O,1968-10-24,Clay,QF,3,Julie Heldman,Lucia Gongora,6-2 6-4,,,,
Mexico City Olympics Exhibition,O,1968-10-24,Clay,QF,3,Maria Eugenia Guzman,Helga Masthoff,W/O,,,,
Mexico City Olympics Exhibition,O,1968-10-24,Clay,SF,3,Peaches Bartkowicz,Suzana Gesteira,6-4 6-2,,,,
Mexico City Olympics Exhibition,O,1968-10-24,Clay,SF,3,Julie Heldman,Maria Eugenia Guzman,6-1 6-0,,,,
Mexico City Olympics Exhibition,O,1968-10-24,Clay,F,3,Peaches Bartkowicz,Julie Heldman,6-3 6-2,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Dorothy Whitely,Judith Dibar,6-2 6-4,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Eva Duldig,Kay Williams,6-3 6-2,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Kerry Ballard,Lorraine Coghlan,W/O,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,L Griffiths,Valerie Caulley,6-3 6-4,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Lita Liem,Sandra Hole,6-0 6-1,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Beryl Jenkins,Wendy Gilchrist,6-2 4-6 10-8,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Kathleen Harter,Loris Butterfield,6-1 6-3,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Margaret Court,Kerry Harris,6-3 6-0,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Cynthia Doerner,Geri Shepard,5-7 8-6 6-4,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Marilyn Tesch,Helen Sheedy,6-3 6-1,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Evonne Goolagong,Ada Bakker,6-4 6-0,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Gail Sherriff,Sheila Washbourne,6-1 6-1,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Lexie Kenny,Sandra Stephen,6-4 6-4,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Lynne Nette,Lynette Mansfield,6-2 6-1,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Rosie Casals,Carol Sherriff,6-2 6-1,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Judy Tegart,Janine Whyte,6-0 6-3,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Judith Salome,Helen Oconnor,6-2 8-6,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Lany Kaligis,Joan Johnson,6-0 6-1,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Patricia Edwards,Heather Mckechnie,3-6 7-5 6-1,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Karen Krantzcke,Ann Jenkins,6-4 6-0,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Beverley Rae,Janet Young,6-3 2-6 6-3,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Kaye Dening,Caroline Cooper,W/O,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Mary Ann Eisel,Kerry Wilkinson,6-4 6-1,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Kerry Reid,Alison Mckenzie,6-4 8-6,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Barbara Hawcroft,Sue Hastings,6-4 6-2,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Astrid Suurbeek,Margaret Starr,8-6 3-6 6-1,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Elena Subirats,E Staples,6-3 6-4,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Lesley Hunt,Helen Gourlay,6-3 3-6 7-5,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Yveline Boy,Janine Murdoch,6-2 6-0,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R64,3,Helen Amos,Denise Brennan,W/O,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R32,3,Lesley Turner,Dorothy Whitely,6-3 6-1,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R32,3,Eva Duldig,Kerry Ballard,6-2 6-2,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R32,3,Lita Liem,L Griffiths,7-5 3-6 6-4,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R32,3,Kathleen Harter,Beryl Jenkins,6-2 5-7 6-4,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R32,3,Margaret Court,Cynthia Doerner,6-3 6-2,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R32,3,Evonne Goolagong,Marilyn Tesch,6-3 6-2,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R32,3,Gail Sherriff,Lexie Kenny,9-7 6-1,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R32,3,Rosie Casals,Lynne Nette,6-2 6-4,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R32,3,Judy Tegart,Judith Salome,6-1 6-1,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R32,3,Lany Kaligis,Patricia Edwards,10-8 2-6 6-3,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R32,3,Karen Krantzcke,Beverley Rae,6-4 6-4,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R32,3,Mary Ann Eisel,Kaye Dening,3-6 6-4 6-3,,,,
Australian Championships,Grand Slam,1968-01-19,Grass,R32,3,Kerry Reid,Barbara Hawcroft,6-2 7-5,,,,
