rank,name,ioc,dob
1,Aryna Sabalenka,BLR,1998/5/5
2,Elena Rybakina,KAZ,1999/6/17
3,Coco Gauff,USA,2004/3/13
4,Iga Swiatek,POL,2001/5/31
5,Jessica Pegula,USA,1994/2/24
6,Amanda Anisimova,USA,2001/8/31
7,Elina Svitolina,UKR,1994/9/12
8,Jasmine Paolini,ITA,1996/1/4
9,Victoria Mboko,CAN,2006/8/26
10,Mirra Andreeva,RUS,2007/4/29
11,Belinda Bencic,SUI,1997/3/10
12,Karolina Muchova,CZE,1996/8/21
13,Ekaterina Alexandrova,RUS,1994/11/15
14,Linda Noskova,CZE,2004/11/17
15,Naomi Osaka,JPN,1997/10/16
16,Iva Jovic,USA,2007/12/6
17,Madison Keys,USA,1995/2/17
18,Clara Tauson,DEN,2002/12/21
19,Diana Shnaider,RUS,2004/4/2
20,Elise Mertens,BEL,1995/11/17
21,Liudmila Samsonova,RUS,1998/11/11
22,Anna Kalinskaya,RUS,1998/12/2
23,Jelena Ostapenko,LAT,1997/6/8
24,Marie Bouzkova,CZE,1998/7/21
25,Leylah Fernandez,CAN,2002/9/6
26,Emma Navarro,USA,2001/5/18
27,Marta Kostyuk,UKR,2002/6/28
28,Emma Raducanu,GBR,2002/11/13
29,Sorana Cirstea,ROU,1990/4/7
30,Maya Joint,AUS,2006/4/16
31,Cristina Bucsa,ESP,1998/1/1
32,Xin Yu Wang,CHN,2001/9/26
33,Jaqueline Cristian,ROU,1998/6/5
34,Sara Bejlek,CZE,2006/1/31
35,Hailey Baptiste,USA,2001/11/3
36,Ann Li,USA,2000/6/26
37,Qinwen Zheng,CHN,2002/10/8
38,Maria Sakkari,GRE,1995/7/25
39,Magdalena Frech,POL,1997/12/15
40,Lois Boisson,FRA,2003/5/16
41,Janice Tjen,INA,2002/5/6
42,Elisabetta Cocciaretto,ITA,2001/1/25
43,Katerina Siniakova,CZE,1996/5/10
44,Peyton Stearns,USA,2001/10/8
45,Marketa Vondrousova,CZE,1999/6/28
46,Alexandra Eala,PHI,2005/5/23
47,Jessica Bouzas Maneiro,ESP,2002/9/24
48,Mccartney Kessler,USA,1999/7/8
49,Dayana Yastremska,UKR,2000/5/15
50,Tereza Valentova,CZE,2007/2/20
51,Laura Siegemund,GER,1988/3/4
52,Barbora Krejcikova,CZE,1995/12/18
53,Yuliia Starodubtseva,UKR,2000/2/17
54,Sonay Kartal,GBR,2001/10/28
55,Magda Linette,POL,1992/2/12
56,Talia Gibson,AUS,2004/6/18
57,Antonia Ruzic,CRO,2003/1/20
58,Varvara Gracheva,FRA,2000/8/2
59,Elsa Jacquemot,FRA,2003/5/3
60,Veronika Kudermetova,RUS,1997/4/24
61,Tatjana Maria,GER,1987/8/8
62,Katie Boulter,GBR,1996/8/1
63,Anna Bondar,HUN,1997/5/27
64,Shuai Zhang,CHN,1989/1/21
65,Anastasia Zakharova,RUS,2002/1/18
66,Sofia Kenin,USA,1998/11/14
67,Beatriz Haddad Maia,BRA,1996/5/30
68,Oleksandra Oliynykova,UKR,2001/1/3
69,Caty Mcnally,USA,2001/11/20
70,Daria Kasatkina,AUS,1997/5/7
71,Panna Udvardy,HUN,1998/9/28
72,Kamilla Rakhimova,UZB,2001/8/28
73,Oksana Selekhmeteva,RUS,2003/1/13
74,Yulia Putintseva,KAZ,1995/1/7
75,Eva Lys,GER,2002/1/12
76,Zeynep Sonmez,TUR,2002/4/30
77,Petra Marcinko,CRO,2005/12/4
78,Solana Sierra,ARG,2004/6/17
79,Viktorija Golubic,SUI,1992/10/16
80,Kimberly Birrell,AUS,1998/4/29
81,Camila Osorio,COL,2001/12/22
82,Renata Zarazua,MEX,1997/9/30
83,Ajla Tomljanovic,AUS,1993/5/7
84,Moyuka Uchijima,JPN,2001/8/11
85,Ella Seidel,GER,2005/2/14
86,Emiliana Arango,COL,2000/11/28
87,Elena Gabriela Ruse,ROU,1997/11/6
88,Katie Volynets,USA,2001/12/31
89,Julia Grabher,AUT,1996/7/2
90,Anna Blinkova,RUS,1998/9/10
91,Simona Waltert,SUI,2000/12/13
92,Taylor Townsend,USA,1996/4/16
93,Alycia Parks,USA,2000/12/31
94,Hanne Vandewinkel,BEL,2004/5/21
95,Diane Parry,FRA,2002/9/1
96,Daria Snigur,UKR,2002/3/27
97,Anastasia Potapova,RUS,2001/3/30
98,Nikola Bartunkova,CZE,2006/2/25
99,Veronika Erjavec,SLO,1999/12/30
100,Francesca Jones,GBR,2000/9/19
101,Mayar Sherif,EGY,1996/5/5
102,Paula Badosa,ESP,1997/11/15
103,Dalma Galfi,HUN,1998/8/13
104,Donna Vekic,CRO,1996/6/28
105,Kaja Juvan,SLO,2000/11/25
106,Lulu Sun,NZL,2001/4/14
107,Victoria Jimenez Kasintseva,AND,2005/8/9
108,Ashlyn Krueger,USA,2004/5/7
109,Tamara Korpatsch,GER,1995/5/12
110,Olga Danilovic,SRB,2001/1/23
111,Lanlana Tararudee,THA,2004/7/7
112,Darja Semenistaja,LAT,2002/9/16
113,Yue Yuan,CHN,1998/9/25
114,Darja Vidmanova,CZE,2003/1/9
115,Aliaksandra Sasnovich,BLR,1994/3/22
116,Anastasia Pavlyuchenkova,RUS,1991/7/3
117,Lilli Tagger,AUT,2008/2/17
118,Suzan Lamens,NED,1999/7/5
119,Sinja Kraus,AUT,2002/4/29
120,Anhelina Kalinina,UKR,1997/2/7
121,Rebecca Sramkova,SVK,1996/10/19
122,Alina Korneeva,RUS,2007/6/23
123,Rebeka Masarova,ESP,1999/8/6
124,Dominika Salkova,CZE,2004/6/28
125,Marina Stakusic,CAN,2004/11/27
126,Alina Charaeva,RUS,2002/5/27
127,Kaitlin Quevedo,ESP,2006/2/13
128,Tamara Zidansek,SLO,1997/12/26
